id,key,type,value
240068029,source,regular,Bing
240068034,source,regular,Bing
245706884,source,regular,AND
245706912,source,regular,AND
245706980,source,regular,AND
245706990,source,regular,AND
245706992,source,regular,AND
245706999,source,regular,AND
245707067,source,regular,Bing
245707079,source,regular,AND
245707082,source,regular,AND
245707092,source,regular,AND
245707098,source,regular,AND
245707105,source,regular,AND
245707122,source,regular,AND
245707180,source,regular,Bing
245707208,source,regular,AND
245707214,source,regular,AND
245707326,source,regular,AND
245707423,source,regular,AND
245707718,source,regular,AND
245707752,source,regular,AND
245708184,source,regular,AND
245708256,source,regular,AND
245708275,source,regular,AND
245708311,source,regular,AND
245708370,source,regular,AND
245708498,source,regular,AND
245708537,source,regular,AND
245708654,source,regular,AND
245708674,source,regular,AND
245708741,source,regular,AND
245708752,source,regular,AND
245709011,source,regular,AND
245709034,source,regular,AND
245709096,source,regular,AND
245709222,source,regular,AND
245709244,source,regular,AND
245709305,source,regular,AND
245709372,source,regular,AND
245709440,source,regular,AND
245709484,source,regular,AND
245709509,source,regular,AND
245709532,source,regular,AND
245709586,source,regular,AND
245709606,source,regular,AND
245709625,source,regular,AND
245709642,source,regular,AND
245709654,source,regular,AND
245709668,source,regular,AND
245709690,source,regular,AND
245709704,source,regular,AND
245709753,source,regular,AND
245709768,source,regular,AND
245709826,source,regular,AND
245709879,source,regular,AND
245709940,source,regular,AND
245709943,source,regular,AND
245709963,source,regular,AND
245709981,source,regular,AND
245709988,source,regular,AND
245710016,source,regular,AND
245710029,source,regular,AND
245710036,source,regular,AND
245710082,source,regular,AND
245710083,source,regular,AND
245710162,source,regular,AND
245710219,source,regular,AND
245710225,source,regular,AND
245710254,source,regular,AND
245710276,source,regular,AND
245710311,source,regular,AND
245710314,source,regular,AND
245710318,source,regular,AND
245710330,source,regular,AND
245710331,source,regular,AND
245710382,source,regular,AND
245710397,source,regular,AND
245710411,source,regular,AND
245710448,source,regular,AND
245710473,source,regular,AND
245710483,source,regular,AND
245710540,source,regular,AND
245710591,source,regular,AND
245710624,source,regular,AND
302473971,highway,regular,traffic_signals
302477440,highway,regular,crossing
302478196,highway,regular,traffic_signals
302478472,highway,regular,traffic_signals
302478667,highway,regular,traffic_signals
310997945,source,regular,Bing
310997946,source,regular,Bing
419272417,bus,regular,yes
419272417,highway,regular,bus_stop
419272417,name,regular,South City Mall
419272417,public_transport,regular,stop_position
419275145,name,regular,Jodhpur Park
419275145,place,regular,suburb
419275337,name,regular,Jadhavpur
419275337,place,regular,suburb
419275394,name,regular,Dhakuria
419275394,place,regular,suburb
419289323,city,addr,Kolkata
419289323,country,addr,IN
419289323,name,regular,Ballygunge Phari
419289323,place,regular,locality
419289392,name,regular,Kalighat
419289392,place,regular,suburb
651795823,amenity,regular,police
651795823,name,regular,Jadavpur Police Station
651804702,bus,regular,yes
651804702,highway,regular,bus_stop
651804702,name,regular,Bengal Lamp
651804702,public_transport,regular,platform
651804962,bus,regular,yes
651804962,highway,regular,bus_stop
651804962,name,regular,Dhakuria
651804962,public_transport,regular,platform
651805056,bus,regular,yes
651805056,highway,regular,bus_stop
651805056,name,regular,Golpark
651805056,public_transport,regular,platform
651805197,bus,regular,yes
651805197,highway,regular,bus_stop
651805197,name,regular,Gariahat
651805197,public_transport,regular,platform
651805440,bus,regular,yes
651805440,highway,regular,bus_stop
651805440,name,regular,Ballygunj Phari
651805440,public_transport,regular,platform
651805730,name,regular,Ballygunge
651805730,bn,name,বালিগঞ্জ
651805730,railway,regular,station
663942938,name,regular,Hastings
663942938,place,regular,suburb
663943188,amenity,regular,police
663943188,name,regular,Gokhale Road Police Quarters
663944866,public_transport,regular,stop_position
664449059,highway,regular,traffic_signals
664449059,traffic_signals,regular,signal
664449987,name,regular,New Alipore
664449987,railway,regular,station
664449987,ref,regular,NACC
664449987,wikidata,regular,Q7005286
664449987,wikipedia,regular,en:New Alipore
1074604625,name,regular,Majherat (Circular Rail)
1074604625,public_transport,regular,stop_position
1074604649,name,regular,Prinsep Ghat
1074604649,railway,regular,station
1174719902,railway,regular,crossing
1174832977,railway,regular,level_crossing
1182599390,source,regular,Bing
1182599391,source,regular,Bing
1182599396,source,regular,Bing
1187083591,name,regular,Eden Gardens
1187083591,railway,regular,station
1187083591,ref,regular,EDG
1187083591,wikidata,regular,Q5336850
1187083591,wikipedia,regular,en:Eden Gardens railway station
1187133856,name,regular,BBD Bagh
1187133856,railway,regular,station
1272967204,bus,regular,yes
1272967204,highway,regular,bus_stop
1272967204,name,regular,Taratalla
1272967204,public_transport,regular,platform
1272967205,amenity,regular,hospital
1272967205,name,regular,Vidyasagar Hospital
1272967207,bus,regular,yes
1272967207,highway,regular,bus_stop
1272967207,name,regular,Behala Tram Depot
1272967207,public_transport,regular,platform
1274128854,bus,regular,yes
1274128854,highway,regular,bus_stop
1274128854,name,regular,Ekbalpore
1274128854,public_transport,regular,platform
1274128857,name,regular,Park Circus
1274128857,bn,name,পার্ক সার্কাস
1274128857,railway,regular,station
1274128857,ref,regular,PQS
1274128861,bus,regular,yes
1274128861,highway,regular,bus_stop
1274128861,name,regular,14 No Bus Stop
1274128861,public_transport,regular,platform
1274128862,amenity,regular,place_of_worship
1274128862,name,regular,Kali Temple
1274128863,bus,regular,yes
1274128863,highway,regular,bus_stop
1274128863,name,regular,Mominpore
1274128863,public_transport,regular,platform
1274591131,exit_to,regular,Acharya Jagadish Chandra Bose Road
1274591131,highway,regular,motorway_junction
1274591408,highway,regular,crossing
1275706810,name,regular,Ripon Street
1275706810,place,regular,suburb
1275706812,name,regular,Ho Chi Min Sarani
1275706812,place,regular,suburb
1277487630,barrier,regular,gate
1277509234,name,regular,Beniapukur
1277509234,place,regular,suburb
1285015463,railway,regular,level_crossing
1285015532,description,regular,"unmanned level crossing, please be careful while crossing"
1285015532,railway,regular,level_crossing
1319358279,railway,regular,level_crossing
1319827054,railway,regular,level_crossing
1327779115,highway,regular,bus_stop
1327779115,name,regular,Haltu
1327779115,bn,name,হালতু
1331093694,railway,regular,crossing
1335880588,bus,regular,yes
1335880588,highway,regular,bus_stop
1335880588,name,regular,Jadavpur Thana
1335880588,public_transport,regular,stop_position
1341614569,IR:zone,regular,ER
1341614569,name,regular,Dhakuria
1341614569,bn,name,ঢাকুরিয়া
1341614569,operator,regular,IR
1341614569,railway,regular,station
1341614569,ref,regular,DHK
1341617476,name,regular,Kasbah
1341617476,place,regular,suburb
1350661687,name,regular,Madar Tala Colony
1350661687,place,regular,suburb
1350661689,name,regular,Tollygunge
1350661689,place,regular,suburb
1350672272,name,regular,Rajendra Prasad Colony
1350672272,place,regular,suburb
1352769545,name,regular,Poddar Nagar
1352769545,place,regular,suburb
1352769550,name,regular,Katju Nagar
1352769550,place,regular,suburb
1362177417,name,regular,Charu Market Area
1362177417,place,regular,suburb
1368072653,entrance,regular,yes
1368072704,entrance,regular,yes
1428757093,access,regular,road
1558124157,name,regular,Khidderpore
1558124157,public_transport,regular,stop_position
1558124157,tram,regular,yes
1559365154,name,regular,Watganj
1559365154,place,regular,suburb
1562324608,name,regular,Mominpur
1562324608,place,regular,suburb
1562324630,name,regular,Kidderpore
1562324630,place,regular,suburb
1562324630,wikidata,regular,Q6404679
1562324630,wikipedia,regular,en:Kidderpore
1577069056,name,regular,Alipore
1577069056,place,regular,suburb
1577069061,name,regular,Bhawanipur
1577069061,place,regular,suburb
1577087782,name,regular,Hazra
1577087782,place,regular,suburb
1589754222,name,regular,Manoharpukur
1589754222,place,regular,suburb
1591425421,bus,regular,yes
1591425421,highway,regular,bus_stop
1591425421,name,regular,Prince Anwar Shah Road
1591425421,public_transport,regular,stop_position
1591425434,highway,regular,traffic_signals
1591425522,highway,regular,crossing
1591476548,highway,regular,traffic_signals
1659493979,building,regular,yes
1659493979,designation,regular,Temple
1659493979,name,regular,Kali Mandir
1659494613,amenity,regular,marketplace
1659494613,designation,regular,Marketplace
1659494613,name,regular,Behala Market
1686118748,amenity,regular,school
1686118748,name,regular,Patha Bhavan Higher Secondary School
1686118749,amenity,regular,school
1686118749,name,regular,Patha Bhavan High School
1686122936,amenity,regular,cinema
1686122936,name,regular,London paris cinema
1711293225,amenity,regular,hospital
1711293225,emergency,regular,yes
1711293225,name,regular,Shambhunath Pandit Hospital
1779696001,housename,addr,The French Loaf
1779696001,housenumber,addr,#4A
1779696001,postcode,addr,700027
1779696001,street,addr,New Road
1779696001,name,regular,The French Loaf
1779696001,shop,regular,bakery
1779696001,website,regular,https://thefrenchloaf.in/
1779725249,street,addr,Alipore Road
1779725249,name,regular,Food Bazaar
1779725249,shop,regular,supermarket
1783122342,amenity,regular,restaurant
1783122342,cuisine,regular,indian
1783122342,name,regular,Dhaba
1783135288,amenity,regular,fuel
1833168504,postcode,addr,700026
1833168504,street,addr,73 & 75 Rash Behari Avenue
1833168504,alt_name,regular,Komala Vilas
1833168504,amenity,regular,restaurant
1833168504,cuisine,regular,indian
1833168504,name,regular,Banana Leaf
1833168504,website,regular,http://www.bananaleaf.in/restaurant.html
1833290416,housenumber,addr,8C
1833290416,postcode,addr,700027
1833290416,street,addr,Alipore Road
1833290416,name,regular,Band Box
1833290416,shop,regular,laundry
1833352667,amenity,regular,post_office
1833352667,name,regular,Ballygunge Post Office
1833362469,postcode,addr,700019
1833362469,amenity,regular,pharmacy
1833362469,name,regular,Ballygunge Drugs Centre
1833362471,amenity,regular,marketplace
1833362471,name,regular,Ice Skating Ring
1833368098,housenumber,addr,1/1
1833368098,postcode,addr,700019
1833368098,street,addr,Ashutosh Chowdhury Road
1833368098,amenity,regular,bank
1833368098,atm,regular,yes
1833368098,branch,regular,Ballygunge
1833368098,brand,regular,ICICI
1833368098,wikidata,brand,Q1653258
1833368098,name,regular,ICICI Bank
1833368098,en,name,ICICI Bank
1833368098,short_name,regular,ICICI
1833368098,website,regular,https://www.icicibank.com
1833368098,wikidata,regular,Q1653258
1833368098,wikipedia,regular,en:ICICI Bank
1833374663,street,addr,Gariahat Road
1833374663,amenity,regular,pharmacy
1833374663,name,regular,Frank Ross
1833374663,website,regular,https://www.frankrosspharmacy.com/
1833374666,name,regular,Tanishq
1833374666,shop,regular,jewelry
1833374666,website,regular,https://www.tanishq.co.in/
1833380881,name,regular,Pantaloons
1833380881,shop,regular,clothes
1833380881,website,regular,www.pantaloonretail.in
1833405150,amenity,regular,pharmacy
1833405150,name,regular,Sri Ramakrishna Pharmacy
1833418560,amenity,regular,post_office
1833418560,name,regular,Mominpur Post Office
1833423572,amenity,regular,fuel
1833423572,brand,regular,Indian Oil
1833423572,name,regular,Indian Oil Petrol Pump
1833423572,operator,regular,IndianOil Corporation Ltd
1833426020,name,regular,Sparkz
1833426020,tourism,regular,theme_park
1833779747,street,addr,Burdwan Road
1833779747,amenity,regular,pharmacy
1833788912,housenumber,addr,#4A
1833788912,postcode,addr,700027
1833788912,street,addr,New Road
1833788912,name,regular,Krishna Super Bazar
1833788912,shop,regular,supermarket
1860605873,postcode,addr,700019
1860605873,name,regular,Gupta Brothers
1860605873,shop,regular,confectionery
1860605880,amenity,regular,fuel
1864390010,amenity,regular,fast_food
1864390010,cuisine,regular,pizza
1864390010,name,regular,Domino's Pizza
1864390010,opening_hours,regular,Mo-Su 11:00-23:00
1864390026,amenity,regular,post_office
1864390026,name,regular,Kalighat Post Office
1866272475,barrier,regular,gate
1872380333,amenity,regular,atm
1872380334,amenity,regular,atm
1872380334,operator,regular,Dhanalakshimi Bank
1872380335,amenity,regular,atm
1872380336,amenity,regular,pharmacy
1872380336,name,regular,Get Well
1881428282,name,regular,Wills Lifestyle
1881428282,shop,regular,clothes
1881428450,amenity,regular,toilets
1881428501,shop,regular,hairdresser
1983390314,shop,regular,hairdresser
1983412036,amenity,regular,fast_food
1983412036,name,regular,Roll Shop
1983446869,bus,regular,yes
1983446869,highway,regular,bus_stop
1983446869,name,regular,Paddapukur
1983446869,public_transport,regular,platform
1983446874,bus,regular,yes
1983446874,highway,regular,bus_stop
1983446874,name,regular,Lansdowne Market
1983446874,public_transport,regular,platform
1983446886,bus,regular,yes
1983446886,highway,regular,bus_stop
1983446886,name,regular,Deshapriya Park
1983446886,public_transport,regular,platform
1983446889,bus,regular,yes
1983446889,highway,regular,bus_stop
1983446889,name,regular,Vivekananda Park
1983446889,public_transport,regular,platform
1983446893,bus,regular,yes
1983446893,highway,regular,bus_stop
1983446893,name,regular,Rashbehari
1983446893,public_transport,regular,platform
1983446896,bus,regular,yes
1983446896,highway,regular,bus_stop
1983446896,name,regular,Shishumangal
1983446896,public_transport,regular,platform
1983446901,bus,regular,yes
1983446901,highway,regular,bus_stop
