id,key,type,value
27377888,highway,regular,secondary
27377888,lanes,regular,3
27377888,maxspeed,regular,40
27377888,name,regular,Dr. Meghnad Saha Road
27377888,oneway,regular,yes
27552922,highway,regular,secondary
27552922,name,regular,Ballygunge Circular Road (Pramatesh Barua Sarani)
27552922,surface,regular,asphalt
27552925,highway,regular,secondary
27552925,name,regular,Lansdowne Road (Sarat Bose Road)
27552960,highway,regular,secondary
27552960,maxspeed,regular,40
27552960,name,regular,Hospital Road
27552960,oneway,regular,yes
27552962,highway,regular,primary
27552962,maxspeed,regular,40
27552962,name,regular,New Park Street
27552962,oneway,regular,no
27552975,highway,regular,primary
27552975,maxspeed,regular,40
27552975,name,regular,J.B.S. Haldane Avenue
27552975,oneway,regular,yes
27553031,highway,regular,primary
27553031,maxspeed,regular,40
27553031,name,regular,Gariahat Road
27553031,oneway,regular,yes
27553044,highway,regular,primary
27553044,maxspeed,regular,40
27553044,name,regular,Gariahat Road
27553044,oneway,regular,yes
27553044,ref,regular,SH1
27553052,highway,regular,secondary
27553052,lanes,regular,3
27553052,maxspeed,regular,40
27553052,name,regular,Suhrawardy Avenue
27553052,oneway,regular,yes
27553057,highway,regular,secondary
27553057,maxspeed,regular,40
27553057,name,regular,Darga Road
27553096,highway,regular,tertiary
27553096,maxspeed,regular,40
27553096,name,regular,Beckbagan Row
27553098,highway,regular,secondary
27553098,maxspeed,regular,40
27553098,name,regular,Gurusaday Datta Road
27553099,highway,regular,tertiary
27553099,name,regular,Rowland Row
27553122,highway,regular,secondary
27553122,lanes,regular,2
27553122,name,regular,Elgin Road (Lala Lajpatrai Sarani)
27553139,highway,regular,primary
27553139,lanes,regular,3
27553139,maxspeed,regular,40
27553139,name,regular,Rash Behari Avenue
27553139,oneway,regular,yes
27553143,highway,regular,secondary
27553143,maxspeed,regular,40
27553143,name,regular,Hazra Road
27553144,alt_name,regular,Sarojini Naidu Sarani
27553144,highway,regular,tertiary
27553144,maxspeed,regular,40
27553144,name,regular,Rawdon Street
27553144,oneway,regular,no
27553160,alt_name,regular,Dr. U.N. Brahmachari Street
27553160,highway,regular,secondary
27553160,maxspeed,regular,40
27553160,name,regular,Loudon Street
27553160,old_name,regular,Loudon Street
27553160,oneway,regular,yes
27553161,alt_name,regular,Picasso Bithi
27553161,highway,regular,residential
27553161,maxspeed,regular,40
27553161,name,regular,Hungerford Street
27553181,highway,regular,tertiary
27553181,maxspeed,regular,40
27553181,name,regular,Lord Sinha Road
27553216,alt_name,regular,Middleton Row
27553216,highway,regular,tertiary
27553216,maxspeed,regular,40
27553216,name,regular,Sir William Jones Sarani
27553216,old_name,regular,Middleton Row
27553216,oneway,regular,yes
27553217,alt_name,regular,Russell Street
27553217,highway,regular,tertiary
27553217,maxspeed,regular,40
27553217,name,regular,Anandilal Poddar Sarani
27553217,old_name,regular,Russell Street
27553226,highway,regular,secondary
27553226,maxspeed,regular,40
27553226,name,regular,Rafi Ahmad Kidwai Road
27553226,old_name,regular,Wellesley Street
27553231,highway,regular,tertiary
27553231,lanes,regular,2
27553231,name,regular,Eliot Road
27553252,highway,regular,tertiary
27553252,name,regular,Lee ROad (OC Ganguly Street)
27553253,highway,regular,residential
27553253,name,regular,Lee Road (OC Ganguly Street)
27553281,highway,regular,tertiary
27553281,lanes,regular,2
27553281,name,regular,Woodburn Park
27553361,highway,regular,residential
27553361,name,regular,Heyshyam Road
27553362,highway,regular,tertiary
27553362,name,regular,Sambhunath Pandit Street
27553380,access,regular,yes
27553380,alt_name,regular,D. L. Khan Road
27553380,cycleway,regular,no
27553380,foot,regular,yes
27553380,highway,regular,tertiary
27553380,lanes,regular,1
27553380,maxspeed,regular,40
27553380,name,regular,Debendra Lal Khan Road
27553380,oneway,regular,no
27553380,surface,regular,paved
27553386,highway,regular,secondary
27553386,maxspeed,regular,40
27553386,name,regular,Cathedral Road
27553386,oneway,regular,alternating
27553386,sidewalk,regular,both
27916770,highway,regular,residential
27916771,highway,regular,tertiary
27916771,name,regular,Janak Road
28573377,AND_a_w,regular,10000549
28573377,name,regular,Hugli
28573377,natural,regular,water
28573377,source,regular,AND + yahoo sat
28573377,waterway,regular,riverbank
30931037,highway,regular,primary
30931037,lanes,regular,4
30931037,maxspeed,regular,40
30931037,name,regular,Shyama Prasad Mukherjee Road
30931037,oneway,regular,yes
30931037,width,regular,12
30990628,leisure,regular,golf_course
30990628,name,regular,Tollygunge Club
30991640,leisure,regular,park
31542069,highway,regular,secondary
31542069,maxspeed,regular,40
35873160,highway,regular,tertiary
35873160,maxspeed,regular,40
35873164,highway,regular,residential
35873179,highway,regular,tertiary
35873179,maxspeed,regular,40
35873179,name,regular,Prince Golam Mohammad Shah Road
35873208,highway,regular,tertiary
35873208,name,regular,Gobindapur Road
35873211,highway,regular,tertiary
35873214,highway,regular,residential
35873218,highway,regular,residential
35873220,highway,regular,residential
35873223,highway,regular,tertiary
35873223,name,regular,Gobindapur Road
35873226,highway,regular,residential
35873232,highway,regular,residential
35873235,highway,regular,tertiary
35873237,highway,regular,secondary
35873237,maxspeed,regular,40
35873237,name,regular,Prince Anwar Shah Road
35873239,highway,regular,primary
35873239,name,regular,Raja Subodh Chandra Mullick Road
35873239,oneway,regular,no
35873239,ref,regular,SH1
35873252,highway,regular,tertiary
35873252,name,regular,Jodhpur Park Road
35873253,highway,regular,residential
35873254,highway,regular,residential
35873256,highway,regular,residential
35873263,highway,regular,residential
35873267,highway,regular,residential
35873271,highway,regular,residential
35873274,highway,regular,residential
35873277,highway,regular,residential
35873279,highway,regular,tertiary
35873286,highway,regular,residential
35873298,highway,regular,tertiary
35873298,name,regular,Rahim Ostagar Road
35873310,highway,regular,primary
35873310,maxspeed,regular,40
35873310,ref,regular,SH1
35873331,highway,regular,primary
35873331,maxspeed,regular,40
35873331,ref,regular,SH1
35873333,highway,regular,primary
35873333,maxspeed,regular,40
35873333,ref,regular,SH1
35873345,highway,regular,tertiary
35873372,highway,regular,tertiary
35873630,highway,regular,primary
35873630,junction,regular,roundabout
35873630,maxspeed,regular,40
35873630,name,regular,Gol Park
35873630,ref,regular,SH1
35873641,amenity,regular,arts_centre
35873641,landuse,regular,commercial
35873641,name,regular,Ramkrishna Mission Institute of Culture
35873648,highway,regular,secondary
35873648,name,regular,South End Park
35873650,highway,regular,residential
35873650,name,regular,South End Park
35873651,highway,regular,residential
35873651,name,regular,South End Park
35873784,highway,regular,primary
